date,open,high,low,close,settle,volume
2017-01-17,5998.0,6070.0,5956.8,6065.0,0.0,8087
2017-01-18,6059.0,6105.0,6038.0,6073.8,0.0,7472
2017-01-19,6063.4,6093.4,6026.6,6047.0,0.0,6053
2017-01-20,5988.0,6108.0,5983.0,6082.8,0.0,8844
2017-01-23,6095.0,6157.6,6095.0,6114.2,0.0,6444
2017-01-24,6109.8,6129.6,6090.4,6123.0,0.0,5648
2017-01-25,6102.4,6158.0,6091.6,6155.0,0.0,5634
2017-01-26,6162.8,6197.6,6152.6,6188.8,0.0,4638
2017-02-03,6190.0,6199.8,6079.6,6165.0,0.0,5183
2017-02-06,6171.2,6207.2,6147.8,6199.6,0.0,6191
2017-02-07,6200.0,6218.6,6163.0,6187.4,0.0,6258
2017-02-08,6180.0,6261.8,6166.0,6246.6,0.0,6954
2017-02-09,6248.0,6299.0,6244.6,6284.8,0.0,6392
2017-02-10,6288.0,6306.8,6269.0,6294.2,0.0,7018
2017-02-13,6295.2,6348.4,6284.2,6330.2,0.0,6313
2017-02-14,6338.8,6342.0,6306.8,6332.0,0.0,5295
2017-02-15,6335.8,6350.0,6285.0,6289.6,0.0,5833
2017-02-16,6289.6,6348.8,6289.6,6345.0,0.0,4994
2017-02-17,6295.8,6295.8,6200.0,6213.0,0.0,8960
2017-02-20,6220.2,6315.0,6218.4,6313.8,0.0,10098
2017-02-21,6311.0,6361.4,6302.4,6341.0,0.0,9310
2017-02-22,6348.0,6395.2,6338.0,6389.6,0.0,9035
2017-02-23,6389.4,6407.0,6348.4,6397.6,0.0,9983
2017-02-24,6390.4,6413.0,6375.4,6410.6,0.0,8443
2017-02-27,6410.0,6410.0,6332.2,6348.0,0.0,9370
2017-02-28,6350.2,6387.8,6347.2,6376.4,0.0,9387
2017-03-01,6375.8,6444.0,6363.6,6397.8,0.0,10832
2017-03-02,6416.8,6423.8,6362.2,6390.0,0.0,9945
2017-03-03,6379.8,6418.0,6346.2,6393.0,0.0,10414
2017-03-06,6404.8,6479.8,6403.4,6459.8,0.0,9589
2017-03-07,6463.8,6469.6,6433.6,6465.0,0.0,8213
2017-03-08,6466.0,6466.0,6427.4,6449.6,0.0,8016
2017-03-09,6436.0,6442.4,6361.2,6390.8,0.0,10675
2017-03-10,6397.8,6429.8,6392.4,6410.4,0.0,8480
2017-03-13,6404.8,6489.8,6365.4,6484.6,0.0,10438
2017-03-14,6487.2,6503.8,6461.0,6470.0,0.0,8196
2017-03-15,6464.6,6486.0,6455.4,6466.4,0.0,8862
2017-03-16,6489.6,6544.0,6489.6,6539.0,0.0,7810
2017-03-17,6485.0,6553.0,6393.0,6410.0,0.0,12413
2017-03-20,6423.6,6434.4,6385.0,6427.0,0.0,9473
2017-03-21,6426.6,6445.0,6403.4,6445.0,0.0,8546
2017-03-22,6415.8,6442.4,6372.8,6428.8,0.0,10292
2017-03-23,6441.0,6477.4,6382.0,6450.0,0.0,12578
