,gain
RANK5,5685.9332892894745
MIN60,3548.387208804488
MIN30,3126.1136394720525
MA5,2851.9233683068305
ROC5,2179.2750316362362
KMID2,2154.093490061816
STD30,2092.633711718023
LOW0,1864.4058960564435
CORD60,1631.248152013868
RESI5,1336.928073167801
QTLD30,1034.176976020477
CORD30,988.5911450425629
STD20,979.0768322376534
KLOW,940.3050716742873
CORD5,887.1809694878757
RANK10,795.2518091201782
KMID,763.7749549527197
VMA60,715.083618234843
QTLU5,711.3363035321236
MAX60,692.0246564028785
KLOW2,642.2194538265467
STD60,615.8296810837928
CORR5,538.6067742763553
KSFT,536.4025631248951
IMIN10,507.1384416818619
ROC30,504.26619715988636
STD5,493.33315297904664
RESI20,492.4198158085346
RSQR10,488.4034514389932
ROC60,477.8294006548822
RESI60,453.97807372448733
IMIN5,417.16731882095337
IMXD5,397.4257438853383
RSV60,396.625160115771
CORR20,339.45444816350937
RSQR5,336.76218465715647
BETA5,329.1635819673538
RESI30,329.05361077561975
CORR10,328.6998546543182
MAX30,322.28391271084547
RANK60,312.8465088605881
RESI10,295.9159416779876
WVMA60,290.3218639995903
QTLD10,284.63181371614337
RSV30,283.89205476641655
RANK30,282.616423368454
CORD20,280.85814330354333
MA60,278.49055856466293
KSFT2,275.8224531710148
SUMN5,271.34137213230133
VWAP0,268.9233271051198
VSTD20,263.6730399131775
KLEN,248.6797317879391
HIGH0,245.97585182264447
MIN10,229.6184405386448
MIN20,229.28217054903507
RSV10,225.73753399401903
IMXD60,219.3590563237667
QTLU10,218.74625262990594
QTLD60,214.9244450465776
SUMP5,210.07560926675797
MAX20,202.9569701217115
BETA60,202.63162649143487
VSUMP5,197.06696990132332
VMA20,196.93260979652405
VMA5,196.7052049934864
VSTD5,196.21596109867096
VMA10,194.37389628589153
WVMA30,193.7000114992261
BETA20,189.28116261959076
RSQR20,188.84350480884314
CORR60,184.85740569233894
RSV20,184.53592187381582
BETA30,184.0742421541363
QTLU60,178.62791094370186
KUP2,175.71197992563248
VSTD30,172.08663176000118
OPEN0,171.76820819079876
CORD10,170.93138578976505
WVMA5,167.69997319579124
IMXD30,167.51521075703204
RSQR60,158.88363254629076
STD10,157.6631255188404
MIN5,153.715017773211
SUMP60,149.09854595549405
MAX5,148.40583803877234
SUMN60,144.20547926425934
CNTD60,137.9506552144885
QTLD5,137.535773396492
WVMA10,128.26070256531239
IMXD20,127.34391463547945
VSUMN60,123.86197018623352
BETA10,121.63868983089924
VSTD10,120.32265043258667
CORR30,119.28157826513052
SUMD5,119.17898681759834
SUMD60,114.83022581040859
VSUMN5,112.0882802605629
MA10,110.06138614099473
RSV5,100.97548234369606
VSUMP60,96.6329221650958
WVMA20,95.58898058370687
RSQR30,94.21884650946595
VSUMN30,86.96304097771645
VMA30,82.05242843925953
QTLU20,79.06118974089622
CNTP60,77.61529040336609
VSUMN10,72.30090383862262
IMIN60,72.20201822370291
VSUMP30,69.10580278746784
MAX10,65.87823504954576
IMAX60,65.77228340506554
ROC20,64.76976770535111
SUMP20,63.92629396915436
SUMP30,61.548755660653114
ROC10,59.127877223771065
KUP,54.957489371299744
VSUMP10,53.44977170228958
VSTD60,53.43700289726257
SUMD10,51.82624924182892
QTLU30,50.13341751694679
CNTP5,43.46950054168701
VSUMD10,42.81055974960327
VSUMD5,41.65969426929951
SUMN20,39.63065872108564
VSUMN20,37.82640051841736
QTLD20,37.72718505561352
SUMN30,36.80474403500557
SUMP10,35.16769623756409
IMIN30,35.11708998680115
CNTP30,34.60643982887268
MA20,30.313290253281593
IMAX5,27.790927500464022
IMIN20,26.73561978340149
VSUMD20,25.456434283405542
IMXD10,24.38677206635475
CNTN60,24.070199966430664
VSUMD60,24.06860202923417
SUMN10,22.03518283367157
VSUMD30,21.632589858956635
IMAX30,20.453349590301514
RANK20,19.62116950750351
CNTP20,19.16299669444561
CNTD10,17.566890239715576
CNTD20,16.414650201797485
SUMD30,15.603729963302612
CNTN30,15.085662066936493
CNTP10,14.953960061073303
VSUMP20,14.024199724197388
CNTN20,12.807770252227783
CNTD30,10.843145787715912
IMAX10,9.75706958770752
SUMD20,8.868139147758484
MA30,7.449491193052381
CNTD5,4.741700172424316
IMAX20,2.5405800342559814
CNTN10,0.0
CNTN5,0.0
