,gain
RANK5,6117.0945956707
MIN60,3463.503382652998
MIN30,3089.7132499367
KMID2,2266.7313885986805
ROC5,2239.398327870491
MA5,2079.8110764473677
LOW0,2058.0370276674803
BP,2002.4532796908325
STD30,1955.2785113081336
CORD60,1584.1437914364506
RESI5,1486.1155365258455
EP,1376.00343211554
QTLD30,1165.364639237523
QTLU5,962.2891808450222
CORD5,906.6416268646717
STD20,899.6695931162685
CORD30,893.9794886112213
KLOW2,877.5891473989468
VMA60,825.5938859507442
RANK10,784.508144614927
RESI20,740.9950543334708
KLOW,719.4014919903129
MAX60,684.7559277564287
KMID,675.4634634256363
KSFT,642.8019537627697
STD60,623.8428285568953
EP_M3,609.9319694340229
IMIN5,575.173026827164
ROC30,572.324333652854
PB_REL,490.8010179512203
CORR20,482.75326646864414
RSQR10,481.1657010162271
IMIN10,469.7207401925698
CORR5,467.2795139346272
RESI60,459.0774627760984
CORD20,449.32706612348557
IMXD5,417.30839371681213
KSFT2,409.3896857202053
RESI30,403.3638406395912
RESI10,398.49318231648067
QTLU10,369.0257639288902
BETA5,353.8046793839894
PS_REL,348.2831711322069
OPEN0,341.98917656508274
WVMA60,335.3757680665003
HIGH0,329.12167036999017
CORR10,326.1024670302868
KLEN,324.6329311009031
STD5,319.99286898970604
IMXD60,317.2149757742882
BETA30,301.3594789914205
QTLD10,293.2468399005011
BETA20,288.906038377434
BETA60,288.46600091457367
VMA5,283.37281216308475
RSV30,269.4262430667877
RANK30,265.6381276845932
RSV60,258.785876983311
RSQR5,256.1290936828591
MAX30,250.9303947049193
MAX20,249.89510472677648
EP_M12,245.12764339218847
VMA20,242.34940087795258
SUMN5,217.3185367193073
RANK60,214.80631713540788
RSV10,214.79186060407665
ROC60,212.86612391471863
VWAP0,212.1523739695549
RSQR20,207.12628489732742
SUMP5,206.55965119600296
MA60,195.0608384050429
VSUMP5,184.27966820914298
MIN10,181.977306327899
VSTD5,179.93419685959816
VSTD20,174.71993728727102
IMXD20,169.51125693321228
VSTD30,167.10926795657724
RSV20,164.24634189717472
QTLD60,163.17121976613998
RSV5,160.76988288201392
VSTD10,159.63533417135477
VMA30,158.1327431499958
BETA10,156.22484084963799
QTLU60,154.6115536141442
WVMA20,153.23023867607117
MIN20,149.09302978217602
WVMA5,148.34898867458105
STD10,147.83167991926894
BP_M3,145.12435865402222
VSUMN5,142.76097036898136
CORD10,138.0598191022873
MAX5,136.04893635760527
WVMA30,135.90525576286018
KUP2,135.2662631869316
VMA10,134.58604222536087
SUMN60,134.04309034347534
CORR60,125.01276555657387
QTLD5,121.43380832672119
MIN5,117.79004227904352
CFP,114.70987051725388
RSQR60,114.51625068485737
VSUMD60,111.61226551013533
MAX10,109.59183447249234
PE_REL,106.8926420994103
CNTP60,104.53246998786926
VSUMD30,103.13139337487519
CNTD60,100.91556715965271
IMXD30,100.34299294650555
ROC20,97.62621212005615
MA10,96.97434067726135
SUMP60,89.84572823159397
SUMP10,88.88534867763519
VSUMP60,85.8059495985508
SP,85.43021762371063
CORR30,81.60726606100798
WVMA10,79.75009934417903
VSUMD5,79.1138147264719
QTLU20,78.10329859517515
RSQR30,77.07869442179799
VSUMN60,76.82052371324971
VSUMN30,75.70002102851868
VSTD60,67.97919924557209
ROC10,67.00616095564328
VSUMP30,64.64788210391998
VSUMN10,63.7294397354126
IMAX30,59.96178913116455
CNTP10,58.599199429154396
SUMD5,58.32753945887089
VSUMP10,54.168340623378754
KUP,53.68125647306442
IMIN30,53.228790521621704
QTLD20,52.42155043128878
SUMN30,49.23071452975273
IMAX60,46.67408660054207
SUMD60,45.793241024017334
VSUMD10,42.57214021682739
RANK20,42.369200229644775
SUMD10,40.52742958068848
VSUMP20,40.312539994716644
IMIN20,34.567405606852844
IMXD10,33.633493185043335
VSUMD20,32.89385409653187
SUMN20,32.76717093586922
SUMP30,30.4236564245075
CNTP5,30.20692014694214
SUMN10,27.128939986228943
MA30,26.84215021133423
IMIN60,26.52792978286743
CNTP20,25.780860424041748
CNTP30,23.875750064849854
SUMD30,21.527852782979608
CNTN60,20.46318018436432
MA20,20.389499455690384
CNTD20,20.20187222957611
QTLU30,20.006439447402954
CNTD10,16.613212056457996
SUMP20,15.99727338925004
CNTN20,14.971089839935303
IMAX5,13.931232243776321
IMAX10,13.60920000076294
CNTD30,11.64732213318348
IMAX20,10.27150011062622
CNTD5,8.778059959411621
VSUMN20,8.768409729003906
CNTN5,5.918820142745972
SUMD20,2.4198100566864014
CNTN30,0.005478379782289267
CNTN10,0.0
